pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hip 21152 b,,7627.881768,22000.0,0.36,HIP 21152,1.4,,6655.0,43.4073,68.0205209,5.4100745,2022.0,Imaging,1300.0,F5 V
hip 41378 b,2.419,9.06,15.571893,0.0213,HIP 41378,1.245,1.306,6371.0,106.289,126.6158279,10.0803708,2016.0,Transit,970.67,F
hip 41378 c,2.56,,31.6978,,HIP 41378,1.15,1.4,6199.0,106.289,126.6158279,10.0803708,2016.0,Transit,,F
hip 41378 d,,,1114.0,,HIP 41378,1.168,1.343,6226.0,106.289,126.6158279,10.0803708,2016.0,Transit,,F
hip 41378 e,4.92,12.0,369.0,,HIP 41378,1.16,1.273,6320.0,106.289,126.6158279,10.0803708,2016.0,Transit,335.0,F
hip 41378 f,,,1084.0,,HIP 41378,1.168,1.343,6226.0,106.289,126.6158279,10.0803708,2016.0,Transit,,F
hip 41378 g,,6.81,64.067,0.01,HIP 41378,1.245,1.306,6371.0,106.289,126.6158279,10.0803708,2025.0,Radial Velocity,,F
hr 2562 b,,4195.3349724,,,HR 2562,1.368,1.334,6597.0,34.0071,102.5042716,-60.2486775,2016.0,Imaging,1255.0,F5 V
hr 858 b,2.004,3.55,3.585287,0.0,HR 858,1.204,1.258,6354.0,31.964,42.9849779,-30.8140609,2019.0,Transit,1552.0,F
hr 858 c,1.939,,5.97293,0.19,HR 858,1.145,1.31,6201.0,31.964,42.9849779,-30.8140609,2019.0,Transit,1326.0,F
hr 858 d,2.164,,11.23,0.28,HR 858,1.145,1.31,6201.0,31.964,42.9849779,-30.8140609,2019.0,Transit,1075.0,F
hr 8799 c,11.209,,,,HR 8799,1.61,1.49338,7204.58,41.2441,346.8701486,21.1340376,2008.0,Imaging,1200.0,F
hr 8799 e,10.0881,,,,HR 8799,1.61,1.49338,7204.58,41.2441,346.8701486,21.1340376,2010.0,Imaging,1300.0,F
k2-100 b,,,1.674,,K2-100,1.153,1.21742,6115.49,188.959,129.6010863,20.1060074,2016.0,Transit,,F
k2-107 b,15.98,,3.313959,,K2-107,1.3,1.81,6061.0,685.2,284.985355,-22.2934206,2017.0,Transit,1649.0,F
k2-167 b,2.36509493,,9.978541,0.48,K2-167,1.084,1.499,6310.0,80.8994,336.5761233,-18.011665,2018.0,Transit,1220.0,F
k2-177 b,2.1162048,,14.155185,,K2-177,1.210525,1.213565,6063.0,492.167,55.2296156,20.7360891,2018.0,Transit,,F
k2-196 b,3.59970536,,48.324222,,K2-196,1.162095,1.538801,6045.0,584.877,200.4562487,-8.4717104,2018.0,Transit,,F
k2-222 b,2.53826377,,15.3886606556,,K2-222,,1.0623,6101.0,101.321,16.4625203,11.7537171,2018.0,Transit,779.17,F
k2-230 b,1.93420564,,2.860636,,K2-230,1.1312,1.181244,6002.0,540.773,191.363117,-6.576051,2018.0,Transit,,F
k2-237 b,18.49485,508.528,2.18056,0.0,K2-237,1.28,1.43,6257.0,314.995,253.7688479,-28.7105836,2018.0,Transit,1884.0,F6 V
k2-243 b,2.17,,11.54182,,K2-243,1.29,1.39,6570.0,266.864,181.1211419,-4.8991358,2018.0,Transit,1035.0,F
k2-243 c,2.01,,24.94598,,K2-243,1.29,1.39,6570.0,266.864,181.1211419,-4.8991358,2018.0,Transit,801.0,F
k2-249 b,2.79,,12.409,,K2-249,1.32,1.57,6504.0,521.716,183.3667344,-8.9952309,2018.0,Transit,1061.0,F
k2-258 b,3.0,,19.0921,,K2-258,1.21,1.31,6351.0,661.873,187.6314027,-1.1609171,2018.0,Transit,831.0,F
k2-260 b,,,2.6266974,,K2-260,1.39,1.69,6367.0,663.834,76.8673317,16.8676948,2018.0,Transit,,F6 V
